LoadID,Subset,FirstName,LastName,JobTitle,Role,SuperUser,LoadID:Organizations:Company,Department,ContactNumbers:Business,ContactNumbers:Home,ContactNumbers:Mobile,ContactNumbers:Fax,OnlineAddresses:PrimaryEmail,LoadID:Memberships:Membership,UIProfile,Address1@Addresses:Office,Address2@Addresses:Office,City@Addresses:Office,State@Addresses:Office,Country@Addresses:Office,Zip@Addresses:Office,LoadID:Persons:Manager,LoadID:Persons:Assistant,EXT:doNotMail,DELL TXT:preferredLanguage
maria.gomez@nielsen.com,small,Maria,Gomez,Sales Operations Account Manager,,,"nielsen",,213-614-2172,,,,maria.gomez@nielsen.com,maria.gomez@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
vlad.subotin@nielsen.com,small,Vlad,Subotin,Channel Account Manager,,,"nielsen",,213-614-2172,,,,vlad.subotin@nielsen.com,vlad.subotin@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
antonio.russo@nielsen.com,small,Antonio,Russo,Channel Sales Rep,,,"nielsen",,213-614-2172,,,,antonio.russo@nielsen.com,antonio.russo@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
shannon.murphy@nielsen.com,small,Shannon,Murphy,Account Manager,,,"nielsen",,213-614-2172,,,,shannon.murphy@nielsen.com,shannon.murphy@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
debbie.kim@nielsen.com,small,Debbie,Kim,Administrator,,,"nielsen",,213-614-2172,,,,debbie.kim@nielsen.com,debbie.kim@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
lisa.rogers@nielsen.com,small,Lisa,Rogers,Channel Administrator,,,"nielsen",,213-614-2172,,,,lisa.rogers@nielsen.com,lisa.rogers@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
bruce.lewis@nielsen.com,small,Bruce,Lewis,System Administrator,,YES,"nielsen",,213-614-2172,,,,bruce.lewis@nielsen.com,bruce.lewis@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
ann.beebe@nielsen.com,small,Ann,Beebe,director,,,"nielsen",,213-614-2172,,,,ann.beebe@nielsen.com,ann.beebe@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
erin.hagens@nielsen.com,small,Erin,Hagens,Sales Account Manager,,,"nielsen",,213-614-2172,,,,erin.hagens@nielsen.com,erin.hagens@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
jerry.lee@nielsen.com,small,Jerry,Lee,Sales Rep,,,"nielsen",,213-614-2172,,,,jerry.lee@nielsen.com,jerry.lee@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
betty.haines@nielsen.com,small,Betty,Haines,Sales Rep,,,"nielsen",,213-614-2172,,,,betty.haines@nielsen.com,betty.haines@nielsen.com,,3445 Tech Best Way,,,,,,,,FALSE,enus
